customer_id,parent_segment,segment
16042,Loyalty,Medium
17381,Loyalty,High
15827,Loyalty,High
14180,Loyalty,Low
13117,Loyalty,Medium
16916,Loyalty,Medium
17964,Loyalty,High
14466,Loyalty,High
17235,Loyalty,Low
16510,Loyalty,Medium
17802,Loyalty,Low
15107,Loyalty,Low
17976,Loyalty,Medium
14449,Loyalty,High
15838,Loyalty,Medium
16781,Loyalty,Medium
17547,Loyalty,Medium
13491,Loyalty,High
16186,Loyalty,Low
17685,Loyalty,Low
17581,Loyalty,Medium
15732,Loyalty,High
13138,Loyalty,High
15823,Loyalty,Low
17567,Loyalty,Medium
15061,Loyalty,High
16203,Loyalty,Medium
15640,Loyalty,Medium
15574,Loyalty,Low
16770,Loyalty,Medium
17838,Loyalty,High
17228,Loyalty,Medium
14829,Loyalty,Low
17412,Loyalty,Low
14031,Loyalty,Low
14775,Loyalty,High
12971,Loyalty,Medium
15834,Loyalty,Low
17659,Loyalty,Medium
15299,Loyalty,Low
15646,Loyalty,High
13958,Loyalty,High
14443,Loyalty,Low
14156,Loyalty,Medium
16995,Loyalty,Medium
13402,Loyalty,Low
18168,Loyalty,Medium
17757,Loyalty,High
14625,Loyalty,High
13011,Loyalty,High
13798,Loyalty,Medium
15384,Loyalty,Low
14264,Loyalty,Low
13295,Loyalty,High
16754,Loyalty,Low
16634,Loyalty,Low
18239,Loyalty,Medium
14576,Loyalty,High
13145,Loyalty,High
14395,Loyalty,Low
14865,Loyalty,Medium
15093,Loyalty,Medium
12738,Loyalty,Medium
16150,Loyalty,Medium
17552,Loyalty,High
14236,Loyalty,High
17961,Loyalty,High
14573,Loyalty,High
17135,Loyalty,Low
17396,Loyalty,Medium
14213,Loyalty,Low
12967,Loyalty,Low
12686,Loyalty,High
14679,Loyalty,Medium
15240,Loyalty,High
18225,Loyalty,High
13370,Loyalty,Medium
16883,Loyalty,High
13520,Loyalty,Medium
12841,Loyalty,Medium
16905,Loyalty,Low
12427,Loyalty,Low
17967,Loyalty,High
16891,Loyalty,High
14589,Loyalty,High
14680,Loyalty,Low
17884,Loyalty,High
12557,Loyalty,Medium
14083,Loyalty,Medium
13013,Loyalty,Low
14210,Loyalty,High
16477,Loyalty,Low
12600,Loyalty,Medium
16013,Loyalty,High
17949,Loyalty,Low
12779,Loyalty,Low
16926,Loyalty,Low
17787,Loyalty,Low
12682,Loyalty,Medium
14723,Loyalty,High
17954,Loyalty,Medium
17819,Loyalty,Low
12712,Loyalty,Medium
15373,Loyalty,Low
16140,Loyalty,Low
17198,Loyalty,High
17238,Loyalty,Low
12793,Loyalty,Low
15769,Loyalty,Medium
14396,Loyalty,Low
14898,Loyalty,Low
12725,Loyalty,Low
16725,Loyalty,High
12395,Loyalty,Medium
16455,Loyalty,Medium
13081,Loyalty,High
15545,Loyalty,Low
17243,Loyalty,High
15465,Loyalty,Low
15708,Loyalty,Medium
13089,Loyalty,High
16033,Loyalty,Low
13838,Loyalty,High
15351,Loyalty,Medium
18055,Loyalty,Medium
15038,Loyalty,High
18109,Loyalty,Medium
13069,Loyalty,Low
16241,Loyalty,Medium
14800,Loyalty,Medium
16839,Loyalty,Medium
16168,Loyalty,Medium
16931,Loyalty,Medium
16814,Loyalty,High
13269,Loyalty,Medium
14813,Loyalty,High
12567,Loyalty,High
17062,Loyalty,Medium
15332,Loyalty,High
14810,Loyalty,Medium
16353,Loyalty,Medium
18118,Loyalty,Medium
13831,Loyalty,Medium
13506,Loyalty,Low
17796,Loyalty,Medium
15716,Loyalty,Low
18156,Loyalty,High
15221,Loyalty,High
16983,Loyalty,Low
17059,Loyalty,High
16327,Loyalty,Low
17211,Loyalty,Low
17026,Loyalty,High
15570,Loyalty,Medium
15880,Loyalty,Medium
16718,Loyalty,Medium
15808,Loyalty,Medium
17858,Loyalty,Low
16393,Loyalty,Low
14161,Loyalty,Low
17863,Loyalty,Medium
16411,Loyalty,Low
16402,Loyalty,Medium
15023,Loyalty,High
17402,Loyalty,High
15426,Loyalty,High
12647,Loyalty,High
15894,Loyalty,Medium
15867,Loyalty,High
14506,Loyalty,High
15555,Loyalty,High
13034,Loyalty,Low
15889,Loyalty,Low
15953,Loyalty,High
16143,Loyalty,High
12720,Loyalty,High
16422,Loyalty,Medium
12747,Loyalty,High
15502,Loyalty,Low
12763,Loyalty,High
14081,Loyalty,Low
17965,Loyalty,Medium
14404,Loyalty,Low
13579,Loyalty,Low
13174,Loyalty,Medium
15987,Loyalty,Medium
17677,Loyalty,High
13652,Loyalty,Low
12586,Loyalty,Low
17428,Loyalty,Medium
16161,Loyalty,Low
16858,Loyalty,Medium
18219,Loyalty,High
14293,Loyalty,High
14748,Loyalty,Low
16638,Loyalty,Medium
17674,Loyalty,Low
12808,Loyalty,High
13094,Loyalty,Medium
15899,Loyalty,Low
12708,Loyalty,High
15898,Loyalty,Medium
17691,Loyalty,Medium
17227,Loyalty,Medium
15039,Loyalty,Medium
15919,Loyalty,High
13497,Loyalty,Medium
15860,Loyalty,Medium
14189,Loyalty,Low
15304,Loyalty,Medium
14867,Loyalty,High
14344,Loyalty,Medium
12474,Loyalty,Low
16719,Loyalty,High
15048,Loyalty,Low
15301,Loyalty,High
14708,Loyalty,High
16898,Loyalty,Low
14825,Loyalty,Medium
18113,Loyalty,Low
17596,Loyalty,Medium
15078,Loyalty,High
14085,Loyalty,High
17860,Loyalty,High
13155,Loyalty,Medium
15028,Loyalty,Medium
16919,Loyalty,Low
17259,Loyalty,Medium
17019,Loyalty,Low
14487,Loyalty,High
16722,Loyalty,Medium
15882,Loyalty,Low
14667,Loyalty,Medium
16710,Loyalty,Low
16550,Loyalty,Low
15984,Loyalty,High
17682,Loyalty,High
16658,Loyalty,Medium
17068,Loyalty,Low
15356,Loyalty,High
17223,Loyalty,High
16817,Loyalty,Low
13030,Loyalty,High
17191,Loyalty,High
15194,Loyalty,High
14409,Loyalty,Low
16654,Loyalty,Medium
16861,Loyalty,Low
16138,Loyalty,High
13481,Loyalty,Medium
13495,Loyalty,Low
17519,Loyalty,High
17218,Loyalty,High
17812,Loyalty,High
14215,Loyalty,Low
15602,Loyalty,High
17320,Loyalty,High
16782,Loyalty,Medium
12913,Loyalty,Medium
17869,Loyalty,High
13564,Loyalty,High
14850,Loyalty,Low
15021,Loyalty,High
13963,Loyalty,Low
17450,Loyalty,High
17091,Loyalty,Low
17470,Loyalty,High
17616,Loyalty,Medium
15649,Loyalty,Low
12681,Loyalty,High
14907,Loyalty,High
17735,Loyalty,Low
16059,Loyalty,Medium
17720,Loyalty,High
15018,Loyalty,Medium
14733,Loyalty,Low
13756,Loyalty,Low
14176,Loyalty,High
13319,Loyalty,Medium
15353,Loyalty,Medium
18119,Loyalty,High
17491,Loyalty,High
14282,Loyalty,Low
13569,Loyalty,Low
15498,Loyalty,Medium
14673,Loyalty,Medium
13488,Loyalty,Medium
16221,Loyalty,High
15002,Loyalty,Medium
15965,Loyalty,High
15024,Loyalty,Low
17675,Loyalty,High
13769,Loyalty,Medium
16904,Loyalty,High
16086,Loyalty,Medium
13786,Loyalty,High
13880,Loyalty,Low
13173,Loyalty,Low
15858,Loyalty,Low
15180,Loyalty,Low
12347,Loyalty,Medium
14739,Loyalty,Low
16293,Loyalty,Medium
17419,Loyalty,Medium
16775,Loyalty,High
16306,Loyalty,Low
16950,Loyalty,High
17591,Loyalty,Low
12839,Loyalty,High
13807,Loyalty,Low
16125,Loyalty,Low
15081,Loyalty,Medium
18102,Loyalty,High
16365,Loyalty,Medium
17870,Loyalty,Low
14821,Loyalty,High
16863,Loyalty,Medium
13078,Loyalty,Medium
13267,Loyalty,Medium
13050,Loyalty,Low
12709,Loyalty,High
15628,Loyalty,High
12386,Loyalty,Medium
14796,Loyalty,High
16779,Loyalty,Low
13599,Loyalty,High
13329,Loyalty,Medium
18077,Loyalty,Medium
14744,Loyalty,Low
17406,Loyalty,High
15750,Loyalty,Low
13983,Loyalty,Medium
13842,Loyalty,Medium
12441,Loyalty,Low
13199,Loyalty,Medium
14032,Loyalty,Medium
17706,Loyalty,High
16081,Loyalty,High
16525,Loyalty,High
14952,Loyalty,High
17975,Loyalty,Low
16122,Loyalty,Medium
13126,Loyalty,Low
15973,Loyalty,Medium
16558,Loyalty,High
16713,Loyalty,Medium
16893,Loyalty,Medium
15529,Loyalty,Low
18043,Loyalty,High
16016,Loyalty,Low
17722,Loyalty,Medium
17324,Loyalty,Low
17341,Loyalty,High
14051,Loyalty,High
15916,Loyalty,Low
16233,Loyalty,Medium
16385,Loyalty,High
15032,Loyalty,Medium
17213,Loyalty,High
18061,Loyalty,Medium
13113,Loyalty,Low
16553,Loyalty,High
13455,Loyalty,Medium
14217,Loyalty,Low
17262,Loyalty,Low
14299,Loyalty,High
18259,Loyalty,Medium
17676,Loyalty,Low
16679,Loyalty,High
18269,Loyalty,Medium
12766,Loyalty,Medium
15298,Loyalty,Low
18193,Loyalty,Medium
13523,Loyalty,High
12870,Loyalty,High
15005,Loyalty,High
15581,Loyalty,Medium
15680,Loyalty,Medium
13649,Loyalty,Low
17894,Loyalty,High
13270,Loyalty,Medium
14618,Loyalty,High
14866,Loyalty,Low
13077,Loyalty,Low
13115,Loyalty,Low
13531,Loyalty,Medium
13848,Loyalty,Medium
13140,Loyalty,Medium
15713,Loyalty,Medium
17999,Loyalty,High
15347,Loyalty,High
17340,Loyalty,Medium
13984,Loyalty,High
15996,Loyalty,Medium
14030,Loyalty,Low
16252,Loyalty,High
16596,Loyalty,High
16700,Loyalty,Medium
16011,Loyalty,High
17655,Loyalty,High
16717,Loyalty,Medium
14243,Loyalty,Low
12963,Loyalty,Medium
15079,Loyalty,High
14437,Loyalty,High
12942,Loyalty,Low
15660,Loyalty,Medium
18092,Loyalty,High
15358,Loyalty,High
12481,Loyalty,Medium
12721,Loyalty,Low
12621,Loyalty,Low
18071,Loyalty,Medium
12683,Loyalty,High
12755,Loyalty,Low
13854,Loyalty,Low
12797,Loyalty,Low
13369,Loyalty,High
12494,Loyalty,Medium
17857,Loyalty,Medium
17411,Loyalty,High
14932,Loyalty,High
12429,Loyalty,Medium
14987,Loyalty,Low
14355,Loyalty,Low
17526,Loyalty,Low
14896,Loyalty,High
14440,Loyalty,High
13240,Loyalty,High
14479,Loyalty,Low
16065,Loyalty,High
17430,Loyalty,High
16520,Loyalty,Medium
15945,Loyalty,Low
15181,Loyalty,High
15856,Loyalty,Low
13102,Loyalty,Low
14205,Loyalty,Low
17702,Loyalty,High
15271,Loyalty,Low
13982,Loyalty,Low
15288,Loyalty,Low
17978,Loyalty,Low
16795,Loyalty,Medium
16519,Loyalty,High
17816,Loyalty,High
13021,Loyalty,Low
16255,Loyalty,Medium
17671,Loyalty,Low
17646,Loyalty,High
12649,Loyalty,High
16350,Loyalty,Low
12872,Loyalty,High
17339,Loyalty,High
18230,Loyalty,Low
16499,Loyalty,Medium
17097,Loyalty,Medium
15192,Loyalty,High
14441,Loyalty,Low
15279,Loyalty,Medium
16579,Loyalty,Low
15380,Loyalty,Medium
17442,Loyalty,Low
17950,Loyalty,High
12826,Loyalty,Low
17456,Loyalty,Low
17307,Loyalty,Low
15811,Loyalty,Medium
13327,Loyalty,Medium
17700,Loyalty,Low
13136,Loyalty,Medium
15535,Loyalty,High
12605,Loyalty,Low
15329,Loyalty,High
15211,Loyalty,Medium
15596,Loyalty,Medium
16163,Loyalty,Medium
16907,Loyalty,Medium
17576,Loyalty,High
14713,Loyalty,High
14702,Loyalty,High
13230,Loyalty,High
13969,Loyalty,High
17530,Loyalty,Low
15805,Loyalty,Medium
17696,Loyalty,Low
17076,Loyalty,High
17827,Loyalty,Medium
16265,Loyalty,High
17880,Loyalty,Low
13000,Loyalty,Low
17790,Loyalty,Medium
12731,Loyalty,Medium
14419,Loyalty,Medium
14082,Loyalty,Low
17912,Loyalty,Low
15723,Loyalty,Medium
16656,Loyalty,Low
14037,Loyalty,High
14256,Loyalty,High
14543,Loyalty,High
16062,Loyalty,High
18116,Loyalty,Medium
16019,Loyalty,Medium
18178,Loyalty,Low
18065,Loyalty,Medium
13148,Loyalty,Medium
12989,Loyalty,High
14107,Loyalty,High
15881,Loyalty,Low
12785,Loyalty,High
16727,Loyalty,Medium
15514,Loyalty,High
13787,Loyalty,Low
17865,Loyalty,Medium
17220,Loyalty,High
16565,Loyalty,Low
16873,Loyalty,High
14062,Loyalty,Medium
15179,Loyalty,High
18016,Loyalty,Medium
14448,Loyalty,High
15503,Loyalty,Medium
17251,Loyalty,High
16923,Loyalty,Medium
14159,Loyalty,High
17126,Loyalty,High
15224,Loyalty,Medium
14577,Loyalty,High
12753,Loyalty,Medium
17236,Loyalty,Low
17372,Loyalty,Medium
16367,Loyalty,Low
12875,Loyalty,Medium
17917,Loyalty,Medium
16010,Loyalty,Medium
17085,Loyalty,Low
13668,Loyalty,High
14684,Loyalty,Low
17188,Loyalty,Low
15547,Loyalty,Low
15998,Loyalty,Low
14413,Loyalty,Low
18004,Loyalty,Low
13959,Loyalty,High
16665,Loyalty,Medium
15454,Loyalty,Low
15044,Loyalty,High
17937,Loyalty,Low
14608,Loyalty,High
17618,Loyalty,Low
14505,Loyalty,High
18037,Loyalty,Low
13198,Loyalty,Low
12540,Loyalty,High
13225,Loyalty,Low
15361,Loyalty,Low
15689,Loyalty,High
14290,Loyalty,Medium
13209,Loyalty,High
13999,Loyalty,Low
14498,Loyalty,Medium
15854,Loyalty,Low
16701,Loyalty,Medium
16927,Loyalty,Medium
17990,Loyalty,High
14544,Loyalty,High
17338,Loyalty,High
17231,Loyalty,Medium
17799,Loyalty,Medium
14565,Loyalty,Low
16726,Loyalty,High
17303,Loyalty,Low
14639,Loyalty,Medium
17611,Loyalty,Low
17179,Loyalty,Low
17524,Loyalty,High
12476,Loyalty,High
17293,Loyalty,Low
17890,Loyalty,Low
17375,Loyalty,Medium
17371,Loyalty,High
17969,Loyalty,High
15159,Loyalty,High
13211,Loyalty,Medium
15777,Loyalty,High
14525,Loyalty,High
13324,Loyalty,Low
13802,Loyalty,High
13948,Loyalty,Low
13008,Loyalty,Low
14206,Loyalty,High
16202,Loyalty,High
16442,Loyalty,High
18075,Loyalty,Medium
15468,Loyalty,High
16570,Loyalty,Medium
14524,Loyalty,High
18141,Loyalty,Low
12434,Loyalty,Low
16810,Loyalty,Low
14961,Loyalty,Medium
17041,Loyalty,Low
16458,Loyalty,Medium
16083,Loyalty,Medium
16262,Loyalty,High
17194,Loyalty,Low
14057,Loyalty,High
14871,Loyalty,Medium
13178,Loyalty,Medium
18044,Loyalty,High
16812,Loyalty,High
16191,Loyalty,High
12370,Loyalty,Medium
14298,Loyalty,High
17158,Loyalty,Medium
14415,Loyalty,Low
16899,Loyalty,High
16531,Loyalty,Medium
17404,Loyalty,High
16556,Loyalty,High
16805,Loyalty,Low
16503,Loyalty,Low
17739,Loyalty,Low
13238,Loyalty,Low
12829,Loyalty,Low
13097,Loyalty,Low
12867,Loyalty,Medium
15392,Loyalty,Medium
13846,Loyalty,Low
14401,Loyalty,Medium
16145,Loyalty,Medium
17629,Loyalty,High
14150,Loyalty,High
13496,Loyalty,Low
13611,Loyalty,Low
16954,Loyalty,Low
17454,Loyalty,Low
17449,Loyalty,Medium
17230,Loyalty,Low
12865,Loyalty,High
15950,Loyalty,Medium
15512,Loyalty,Medium
17525,Loyalty,High
13458,Loyalty,Low
14426,Loyalty,High
16003,Loyalty,Low
13092,Loyalty,High
13426,Loyalty,Medium
15101,Loyalty,Low
17033,Loyalty,Low
13221,Loyalty,High
14201,Loyalty,High
17692,Loyalty,Low
15822,Loyalty,Medium
16134,Loyalty,Medium
17551,Loyalty,Low
18050,Loyalty,Medium
14913,Loyalty,Low
12666,Loyalty,Medium
15641,Loyalty,Low
13124,Loyalty,Low
17214,Loyalty,High
15456,Loyalty,Medium
15062,Loyalty,Low
12928,Loyalty,High
15727,Loyalty,Medium
17980,Loyalty,Medium
15290,Loyalty,Low
17752,Loyalty,High
15615,Loyalty,High
12577,Loyalty,Low
17044,Loyalty,Low
13829,Loyalty,Low
17633,Loyalty,Low
13266,Loyalty,High
17820,Loyalty,Low
15664,Loyalty,Medium
17189,Loyalty,High
17496,Loyalty,Low
16607,Loyalty,Medium
13317,Loyalty,Medium
13890,Loyalty,Medium
17001,Loyalty,High
15246,Loyalty,Medium
16996,Loyalty,Low
15482,Loyalty,Low
16037,Loyalty,Low
14841,Loyalty,Medium
16670,Loyalty,Low
16985,Loyalty,Low
16705,Loyalty,High
16470,Loyalty,Low
14414,Loyalty,Medium
15563,Loyalty,Medium
12980,Loyalty,Low
16746,Loyalty,High
14878,Loyalty,Low
16743,Loyalty,Low
17146,Loyalty,Low
12877,Loyalty,High
15394,Loyalty,Low
14621,Loyalty,Low
15379,Loyalty,Medium
14309,Loyalty,Medium
17288,Loyalty,Low
14709,Loyalty,High
15157,Loyalty,High
17744,Loyalty,High
16316,Loyalty,Medium
15620,Loyalty,Medium
15789,Loyalty,High
16560,Loyalty,Low
13534,Loyalty,Medium
17580,Loyalty,Low
14777,Loyalty,Medium
15759,Loyalty,Low
14373,Loyalty,High
18176,Loyalty,High
15366,Loyalty,High
14735,Loyalty,Low
16271,Loyalty,Low
18223,Loyalty,Medium
15532,Loyalty,Low
16816,Loyalty,Medium
16684,Loyalty,High
14334,Loyalty,Low
16945,Loyalty,High
14643,Loyalty,High
15197,Loyalty,Low
14220,Loyalty,Low
13874,Loyalty,Medium
18260,Loyalty,Low
17848,Loyalty,Medium
17392,Loyalty,Low
12348,Loyalty,High
14985,Loyalty,Low
13004,Loyalty,Low
14560,Loyalty,Medium
12931,Loyalty,High
13627,Loyalty,High
12551,Loyalty,High
12782,Loyalty,Medium
14769,Loyalty,High
15780,Loyalty,High
12417,Loyalty,High
17315,Loyalty,Low
16711,Loyalty,Medium
12726,Loyalty,Medium
15204,Loyalty,High
17888,Loyalty,High
17007,Loyalty,High
15160,Loyalty,High
14016,Loyalty,Medium
13033,Loyalty,Low
12691,Loyalty,Medium
13869,Loyalty,Medium
14146,Loyalty,High
12705,Loyalty,High
16885,Loyalty,High
17913,Loyalty,Medium
12668,Loyalty,High
14472,Loyalty,Medium
17358,Loyalty,High
16686,Loyalty,Low
18245,Loyalty,Medium
17343,Loyalty,Medium
18256,Loyalty,Low
16153,Loyalty,Low
12377,Loyalty,Medium
14646,Loyalty,Medium
12944,Loyalty,Low
15312,Loyalty,High
14099,Loyalty,Medium
14113,Loyalty,High
13104,Loyalty,Medium
17204,Loyalty,Medium
13027,Loyalty,High
17621,Loyalty,Low
17090,Loyalty,High
14119,Loyalty,Medium
15527,Loyalty,High
18097,Loyalty,High
15460,Loyalty,Medium
15034,Loyalty,Medium
12423,Loyalty,High
12678,Loyalty,Low
15208,Loyalty,Medium
17306,Loyalty,Low
14737,Loyalty,High
13029,Loyalty,Low
16270,Loyalty,Low
13487,Loyalty,Medium
12515,Loyalty,High
17400,Loyalty,Low
17593,Loyalty,Low
13953,Loyalty,Medium
14533,Loyalty,High
12734,Loyalty,High
14944,Loyalty,Medium
17239,Loyalty,Low
14532,Loyalty,Medium
12383,Loyalty,Medium
15562,Loyalty,Medium
15587,Loyalty,Medium
13922,Loyalty,Low
13817,Loyalty,Medium
12585,Loyalty,Medium
13165,Loyalty,High
13304,Loyalty,High
13313,Loyalty,High
16875,Loyalty,Medium
16282,Loyalty,Medium
12957,Loyalty,Medium
14462,Loyalty,High
13397,Loyalty,High
13680,Loyalty,Low
12483,Loyalty,Medium
15164,Loyalty,Low
17457,Loyalty,High
14732,Loyalty,Medium
14221,Loyalty,Low
14553,Loyalty,Low
13253,Loyalty,Medium
17389,Loyalty,Medium
12578,Loyalty,High
15841,Loyalty,Low
16112,Loyalty,Medium
13629,Loyalty,Medium
16600,Loyalty,Low
15661,Loyalty,High
16532,Loyalty,High
15266,Loyalty,Medium
14653,Loyalty,High
16771,Loyalty,Low
17585,Loyalty,Medium
15046,Loyalty,Medium
13082,Loyalty,Medium
15464,Loyalty,High
18226,Loyalty,Medium
18062,Loyalty,Low
12415,Loyalty,High
12503,Loyalty,High
17368,Loyalty,High
14258,Loyalty,Medium
15719,Loyalty,High
13368,Loyalty,Low
17634,Loyalty,High
16676,Loyalty,Medium
16424,Loyalty,High
18283,Loyalty,Low
12735,Loyalty,High
13764,Loyalty,Medium
13656,Loyalty,Medium
12413,Loyalty,Medium
14312,Loyalty,High
13280,Loyalty,Low
15845,Loyalty,High
16094,Loyalty,High
13187,Loyalty,Medium
16567,Loyalty,Medium
14828,Loyalty,High
12530,Loyalty,Low
16551,Loyalty,Low
16889,Loyalty,Medium
16473,Loyalty,Low
13750,Loyalty,Medium
12501,Loyalty,Medium
15607,Loyalty,Low
15139,Loyalty,Medium
12489,Loyalty,Low
17707,Loyalty,Low
18198,Loyalty,Low
12484,Loyalty,Medium
18179,Loyalty,Medium
17284,Loyalty,Medium
13233,Loyalty,Low
14889,Loyalty,Low
12480,Loyalty,Medium
14672,Loyalty,High
13593,Loyalty,High
13162,Loyalty,High
13183,Loyalty,Medium
17095,Loyalty,High
12939,Loyalty,Low
15611,Loyalty,Medium
17114,Loyalty,Medium
15059,Loyalty,Low
16326,Loyalty,High
17128,Loyalty,High
14761,Loyalty,High
17555,Loyalty,Low
12651,Loyalty,High
16735,Loyalty,Low
16833,Loyalty,Low
17800,Loyalty,Low
16748,Loyalty,Low
14755,Loyalty,High
16549,Loyalty,High
13565,Loyalty,Low
15799,Loyalty,Low
18032,Loyalty,Medium
13451,Loyalty,Low
14794,Loyalty,Medium
12539,Loyalty,High
12500,Loyalty,Medium
18171,Loyalty,High
16279,Loyalty,Medium
12524,Loyalty,Medium
17811,Loyalty,High
16850,Loyalty,Low
14321,Loyalty,High
15326,Loyalty,Low
17849,Loyalty,Low
13672,Loyalty,Low
14229,Loyalty,Low
13107,Loyalty,Low
16497,Loyalty,High
16303,Loyalty,Medium
15281,Loyalty,Medium
12736,Loyalty,High
13473,Loyalty,High
14320,Loyalty,Low
12393,Loyalty,Low
17742,Loyalty,High
16351,Loyalty,Medium
12601,Loyalty,Low
13144,Loyalty,Low
15346,Loyalty,Medium
15370,Loyalty,High
12643,Loyalty,Medium
14295,Loyalty,High
16034,Loyalty,Low
17365,Loyalty,Medium
15189,Loyalty,Medium
14669,Loyalty,High
18095,Loyalty,Medium
15518,Loyalty,Medium
15749,Loyalty,Medium
14209,Loyalty,Low
15569,Loyalty,Low
12728,Loyalty,Medium
17569,Loyalty,Medium
13784,Loyalty,Medium
12724,Loyalty,Medium
13862,Loyalty,High
16791,Loyalty,Medium
16235,Loyalty,High
14270,Loyalty,High
12665,Loyalty,High
12523,Loyalty,High
16655,Loyalty,High
16359,Loyalty,High
16554,Loyalty,Low
12359,Loyalty,Low
15939,Loyalty,Low
14587,Loyalty,High
14715,Loyalty,High
14185,Loyalty,Low
12437,Loyalty,High
14040,Loyalty,Low
12652,Loyalty,High
14514,Loyalty,Medium
15171,Loyalty,Medium
14167,Loyalty,Low
17048,Loyalty,High
17364,Loyalty,Medium
13284,Loyalty,Low
16500,Loyalty,Low
12951,Loyalty,Medium
15835,Loyalty,High
18190,Loyalty,Medium
13993,Loyalty,Low
14114,Loyalty,High
15447,Loyalty,Medium
16315,Loyalty,High
14978,Loyalty,High
16395,Loyalty,Medium
15510,Loyalty,Medium
13614,Loyalty,Low
13246,Loyalty,Low
15687,Loyalty,Medium
16493,Loyalty,High
12490,Loyalty,High
12672,Loyalty,Low
13385,Loyalty,High
15626,Loyalty,Low
12553,Loyalty,High
15213,Loyalty,Medium
14175,Loyalty,High
18106,Loyalty,High
15033,Loyalty,Low
14329,Loyalty,Medium
16401,Loyalty,Medium
16206,Loyalty,Medium
13782,Loyalty,Medium
12924,Loyalty,High
16593,Loyalty,High
13700,Loyalty,High
13064,Loyalty,Medium
13048,Loyalty,Medium
18069,Loyalty,High
13634,Loyalty,Low
16843,Loyalty,High
17064,Loyalty,Medium
17609,Loyalty,Low
15673,Loyalty,Low
12626,Loyalty,High
14976,Loyalty,High
12388,Loyalty,Medium
13527,Loyalty,High
15696,Loyalty,High
15316,Loyalty,Medium
12673,Loyalty,High
15296,Loyalty,High
17988,Loyalty,High
12820,Loyalty,Low
13001,Loyalty,Low
14101,Loyalty,Low
14238,Loyalty,Low
17730,Loyalty,Medium
13929,Loyalty,High
14657,Loyalty,Medium
13859,Loyalty,Medium
18212,Loyalty,Low
14292,Loyalty,Medium
