banner_name,store_id,division_name
Switzerland,340,Europe
United Arab Emirates,342,Asia
United Arab Emirates,341,Asia
United Arab Emirates,348,Asia
United Kingdom,353,Europe
United Kingdom,358,Europe
United Kingdom,354,Europe
United Kingdom,352,Europe
United Kingdom,356,Europe
United Kingdom,360,Europe
United Kingdom,351,Europe
United Kingdom,355,Europe
United Kingdom,359,Europe
United Kingdom,357,Europe
Unspecified,369,Unspecified
Unspecified,361,Unspecified
Unspecified,362,Unspecified
Unspecified,363,Unspecified
Unspecified,370,Unspecified
Unspecified,367,Unspecified
Unspecified,365,Unspecified
USA,373,North America
USA,380,North America
USA,374,North America
USA,375,North America
USA,378,North America
USA,379,North America
